index,date,open,high,low,close,volume
679,2021-09-09 21:41:00,1.1822,1.1822,1.1819,1.1822,0
680,2021-09-09 21:40:00,1.1821,1.1822,1.1820,1.1822,0
681,2021-09-09 21:39:00,1.1821,1.1821,1.1819,1.1821,0
682,2021-09-09 21:38:00,1.1820,1.1821,1.1819,1.1819,0
683,2021-09-09 21:37:00,1.1820,1.1821,1.1819,1.1820,0
684,2021-09-09 21:36:00,1.1820,1.1820,1.1818,1.1819,0
685,2021-09-09 21:35:00,1.1821,1.1821,1.1818,1.1820,0
686,2021-09-09 21:34:00,1.1820,1.1821,1.1818,1.1821,0
687,2021-09-09 21:33:00,1.1820,1.1821,1.1818,1.1820,0
688,2021-09-09 21:32:00,1.1820,1.1820,1.1818,1.1820,0
689,2021-09-09 21:31:00,1.1819,1.1820,1.1818,1.1820,0
690,2021-09-09 21:30:00,1.1820,1.1820,1.1817,1.1819,0
691,2021-09-09 21:29:00,1.1819,1.1821,1.1818,1.1820,0
692,2021-09-09 21:28:00,1.1819,1.1820,1.1818,1.1820,0
693,2021-09-09 21:27:00,1.1819,1.1820,1.1817,1.1819,0
694,2021-09-09 21:26:00,1.1821,1.1821,1.1817,1.1819,0
695,2021-09-09 21:25:00,1.1820,1.1821,1.1819,1.1821,0
696,2021-09-09 21:24:00,1.1821,1.1821,1.1818,1.1819,0
697,2021-09-09 21:23:00,1.1820,1.1821,1.1819,1.1821,0
698,2021-09-09 21:22:00,1.1821,1.1821,1.1818,1.1820,0
699,2021-09-09 21:21:00,1.1821,1.1821,1.1819,1.1820,0
700,2021-09-09 21:20:00,1.1821,1.1821,1.1819,1.1821,0
701,2021-09-09 21:19:00,1.1820,1.1821,1.1818,1.1821,0
702,2021-09-09 21:18:00,1.1821,1.1821,1.1818,1.1820,0
703,2021-09-09 21:17:00,1.1820,1.1821,1.1818,1.1819,0
704,2021-09-09 21:16:00,1.1821,1.1822,1.1818,1.1820,0
705,2021-09-09 21:15:00,1.1822,1.1822,1.1819,1.1821,0
706,2021-09-09 21:14:00,1.1822,1.1823,1.1820,1.1822,0
707,2021-09-09 21:13:00,1.1823,1.1823,1.1820,1.1823,0
708,2021-09-09 21:12:00,1.1823,1.1823,1.1821,1.1821,0
709,2021-09-09 21:11:00,1.1824,1.1824,1.1821,1.1823,0
710,2021-09-09 21:10:00,1.1824,1.1824,1.1822,1.1824,0
711,2021-09-09 21:09:00,1.1824,1.1824,1.1822,1.1824,0
712,2021-09-09 21:08:00,1.1824,1.1824,1.1822,1.1824,0
713,2021-09-09 21:07:00,1.1824,1.1824,1.1822,1.1824,0
714,2021-09-09 21:06:00,1.1824,1.1824,1.1822,1.1824,0
715,2021-09-09 21:05:00,1.1825,1.1825,1.1822,1.1824,0
716,2021-09-09 21:04:00,1.1824,1.1825,1.1823,1.1825,0
717,2021-09-09 21:03:00,1.1822,1.1824,1.1822,1.1824,0
718,2021-09-09 21:02:00,1.1822,1.1824,1.1822,1.1824,0
719,2021-09-09 21:01:00,1.1824,1.1824,1.1821,1.1824,0
720,2021-09-09 21:00:00,1.1824,1.1824,1.1822,1.1822,0
721,2021-09-09 20:59:00,1.1824,1.1825,1.1822,1.1824,0
722,2021-09-09 20:58:00,1.1825,1.1825,1.1822,1.1823,0
723,2021-09-09 20:57:00,1.1826,1.1826,1.1823,1.1825,0
724,2021-09-09 20:56:00,1.1825,1.1826,1.1824,1.1824,0
